Transaction_ID,Items
1,"Bread, Milk, Eggs"
2,"Bread, Diapers, Beer"
3,"Milk, Diapers, Beer, Cola"
4,"Bread, Milk, Diapers, Beer"
5,"Bread, Milk, Diapers, Cola"
6,"Milk, Eggs, Tea"
7,"Bread, Eggs, Tea"
8,"Bread, Milk"
9,"Diapers, Beer, Eggs"
10,"Milk, Diapers, Beer"
11,"Bread, Milk, Eggs"
12,"Bread, Diapers, Beer"
13,"Milk, Diapers, Beer, Cola"
14,"Bread, Milk, Diapers, Beer"
15,"Bread, Milk, Diapers, Cola"
16,"Milk, Eggs, Tea"
17,"Bread, Eggs, Tea"
18,"Bread, Milk"
19,"Diapers, Beer, Eggs"
20,"Milk, Diapers, Beer"
