Budget_USD,Primary_Language,Target_Region,Cloud_Choice,DEMO_Is_AWS,DEMO_Is_Azure,DEMO_Is_GCP
29736,Java,APAC,Azure,0,1,0
43467,C#,US,Azure,0,1,0
28328,C#,US,GCP,0,0,1
30876,Java,US,Azure,0,1,0
26295,Python,US,Azure,0,1,0
8987,Java,EU,GCP,0,0,1
27399,Python,US,Azure,0,1,0
38986,C#,APAC,GCP,0,0,1
25880,Python,APAC,Azure,0,1,0
9735,Python,US,GCP,0,0,1
49064,Python,APAC,GCP,0,0,1
9555,C#,US,Azure,0,1,0
46914,C#,US,Azure,0,1,0
45818,Python,APAC,Azure,0,1,0
24830,Python,US,AWS,1,0,0
22429,Java,APAC,AWS,1,0,0
11893,Python,EU,AWS,1,0,0
19373,Java,US,GCP,0,0,1
8436,Python,EU,Azure,0,1,0
13754,Java,APAC,GCP,0,0,1
