Square_Feet,Bedrooms,Neighborhood,Age_of_House,Price_USD
1860,5,Urban,1,638974
2294,2,Rural,19,665625
2130,2,Urban,27,402283
2095,5,Rural,46,396769
2638,3,Rural,6,237065
3169,3,Suburban,43,423165
1466,2,Rural,7,299299
2238,5,Suburban,46,625822
1330,2,Rural,34,211534
2482,2,Rural,13,687879
3135,4,Suburban,16,240397
3919,4,Suburban,35,457750
1130,4,Rural,49,553531
2685,3,Urban,39,463160
1769,5,Suburban,3,683005
3391,5,Urban,1,255591
2515,5,Urban,5,420884
3853,5,Urban,41,223247
3433,4,Suburban,3,224300
2215,3,Urban,28,667281
